"indicateur","ville","Unit","Date","Value"
"Température minimale","Lomé","°C","1961","22.2810707885305"
"Température minimale","Lomé","°C","1962","22.2580024321557"
"Température minimale","Lomé","°C","1963","22.9835317460317"
"Température minimale","Lomé","°C","1964","22.0245807069584"
"Température minimale","Lomé","°C","1965","22.5671268561188"
"Température minimale","Lomé","°C","1966","23.2050428827445"
"Température minimale","Lomé","°C","1967","22.8552528161802"
"Température minimale","Lomé","°C","1968","23.0382140650105"
"Température minimale","Lomé","°C","1969","23.3098695738749"
"Température minimale","Lomé","°C","1970","23.2692869943676"
"Température minimale","Lomé","°C","1971","22.2987999231951"
"Température minimale","Lomé","°C","1972","23.0126161784699"
"Température minimale","Lomé","°C","1973","23.4442140296979"
"Température minimale","Lomé","°C","1974","22.7129691500256"
"Température minimale","Lomé","°C","1975","22.4903385816692"
"Température minimale","Lomé","°C","1976","22.6595677295761"
"Température minimale","Lomé","°C","1977","23.5105581157194"
"Température minimale","Lomé","°C","1978","23.2661834357399"
"Température minimale","Lomé","°C","1979","23.8435867895545"
"Température minimale","Lomé","°C","1980","23.6019623655914"
"Température minimale","Lomé","°C","1981","23.6137960829493"
"Température minimale","Lomé","°C","1982","23.2980248335893"
"Température minimale","Lomé","°C","1983","22.9916237839222"
"Température minimale","Lomé","°C","1984","22.8298161537511"
"Température minimale","Lomé","°C","1985","22.6424052739375"
"Température minimale","Lomé","°C","1986","22.4470180491551"
"Température minimale","Lomé","°C","1987","24.2886962365591"
"Température minimale","Lomé","°C","1988","24.1647379804721"
"Température minimale","Lomé","°C","1989","23.6821185355863"
"Température minimale","Lomé","°C","1990","24.220359703021"
"Température minimale","Lomé","°C","1991","24.1364912954429"
"Température minimale","Lomé","°C","1992","23.8528522432332"
"Température minimale","Lomé","°C","1993","23.8547721454173"
"Température minimale","Lomé","°C","1994","23.824486047107"
"Température minimale","Lomé","°C","1995","24.2115994623656"
"Température minimale","Lomé","°C","1996","24.2315977629465"
"Température minimale","Lomé","°C","1997","23.7583333333333"
"Température minimale","Lomé","°C","1998","24.2655267537122"
"Température minimale","Lomé","°C","1999","23.7070340501792"
"Température minimale","Lomé","°C","2000","24.3166666666667"
"Température minimale","Lomé","°C","2001","24.6083333333333"
"Température minimale","Lomé","°C","2002","24.4416666666667"
"Température minimale","Lomé","°C","2003","24.7416666666667"
"Température minimale","Lomé","°C","2004","24.675"
"Température minimale","Lomé","°C","2005","24.825"
"Température minimale","Lomé","°C","2006","25.0038204045059"
"Température minimale","Lomé","°C","2007","24.9433992575525"
"Température minimale","Lomé","°C","2008","24.5833333333333"
"Température minimale","Lomé","°C","2009","24.7"
"Température minimale","Lomé","°C","2010","25.2"
"Température minimale","Lomé","°C","2011","24.6047222222222"
"Température minimale","Lomé","°C","2012","24.4063888888889"
"Température minimale","Lomé","°C","2013","24.5822222222222"
"Température minimale","Lomé","°C","2014","24.4552777777778"
"Température minimale","Lomé","°C","2015","24.4761111111111"
"Température minimale","Lomé","°C","2016","25"
"Température minimale","Lomé","°C","2017","24.8"
"Température minimale","Lomé","°C","2018","24.6527777777778"
"Température minimale","Lomé","°C","2019","25.0725"
"Température minimale","Lomé","°C","2020","24.7519444444444"
"Température minimale","Lomé","°C","2021","25.1205555555556"
"Température minimale","Lomé","°C","2022","24.6561111111111"
"Température minimale","Tabligbo","°C","1961","21.7005101126472"
"Température minimale","Tabligbo","°C","1962","21.8974332591769"
"Température minimale","Tabligbo","°C","1963","22.2998041474654"
"Température minimale","Tabligbo","°C","1964","21.6016731553578"
"Température minimale","Tabligbo","°C","1965","21.7897836661546"
"Température minimale","Tabligbo","°C","1966","22.5119911674347"
"Température minimale","Tabligbo","°C","1967","21.5375992063492"
"Température minimale","Tabligbo","°C","1968","22.2981263131875"
"Température minimale","Tabligbo","°C","1969","22.7632405273938"
"Température minimale","Tabligbo","°C","1970","22.5119911674347"
"Température minimale","Tabligbo","°C","1971","22.03797875064"
"Température minimale","Tabligbo","°C","1972","22.5716877880184"
"Température minimale","Tabligbo","°C","1973","22.911283922171"
"Température minimale","Tabligbo","°C","1974","22.1247740655402"
"Température minimale","Tabligbo","°C","1975","21.5000979262673"
"Température minimale","Tabligbo","°C","1976","21.2104838709677"
"Température minimale","Tabligbo","°C","1977","21.8836021505376"
"Température minimale","Tabligbo","°C","1978","21.7508064516129"
"Température minimale","Tabligbo","°C","1979","22.2"
"Température minimale","Tabligbo","°C","1980","22.1924731182796"
"Température minimale","Tabligbo","°C","1981","22.4260701484895"
"Température minimale","Tabligbo","°C","1982","22.1730536354327"
"Température minimale","Tabligbo","°C","1983","22.4921697388633"
"Température minimale","Tabligbo","°C","1984","22.4588712767272"
"Température minimale","Tabligbo","°C","1985","22.2630145929339"
"Température minimale","Tabligbo","°C","1986","22.1591378648234"
"Température minimale","Tabligbo","°C","1987","23.2687621607783"
"Température minimale","Tabligbo","°C","1988","22.7772129526635"
"Température minimale","Tabligbo","°C","1989","22.082996671787"
"Température minimale","Tabligbo","°C","1990","22.791283922171"
"Température minimale","Tabligbo","°C","1991","22.804571812596"
"Température minimale","Tabligbo","°C","1992","22.3732474354221"
"Température minimale","Tabligbo","°C","1993","23.0254470686124"
"Température minimale","Tabligbo","°C","1994","22.4393241167435"
"Température minimale","Tabligbo","°C","1995","22.75943484383"
"Température minimale","Tabligbo","°C","1996","22.9734828822148"
"Température minimale","Tabligbo","°C","1997","22.7860407066052"
"Température minimale","Tabligbo","°C","1998","23.2753748677675"
"Température minimale","Tabligbo","°C","1999","22.7232238863287"
"Température minimale","Tabligbo","°C","2000","22.7851770485725"
"Température minimale","Tabligbo","°C","2001","23.0833333333333"
"Température minimale","Tabligbo","°C","2002","23.0333333333333"
"Température minimale","Tabligbo","°C","2003","23.2583333333333"
